authority_id,name,code,hectares,multiple,income,employment,education,health,crime,housing,environment,idaci,idaopi,education,adultskills,services,wider,indoors,outdoors,population,dependent_children,working_age,sixteen_fiftynine,over_sixty
97,Poole,E06000029,7471.614,6.613,6.215,6.581,5.677,6.269,6.473,5.624,6.849,5.989,6.226,5.398,5.935,4.409,5.871,6.796,5.602,150577,26454,89280,82357,40646
98,Portsmouth,E06000044,6014.447,4.304,4.928,5.520,3.872,4.400,4.336,4.896,2.016,4.496,4.896,3.120,5.208,7.896,2.776,2.928,1.512,211758,39310,141144,134041,37381
99,Reading,E06000038,4039.798,5.536,5.443,6.144,5.567,6.546,4.928,4.515,4.536,5.206,4.557,4.825,6.598,6.093,3.340,5.196,3.103,161739,33191,107978,102945,24958
100,Redbridge,E09000026,5644.225,5.248,4.832,5.783,7.006,6.950,3.224,3.248,4.602,5.168,4.155,7.460,6.280,7.373,1.950,5.957,2.534,296793,67546,190635,180251,47776
101,Redcar and Cleveland,E06000003,25389.087,4.568,4.352,3.557,4.648,3.023,5.420,7.977,8.636,4.466,4.989,4.761,4.602,5.114,8.943,8.045,8.364,135275,24201,80193,73538,36548
102,Richmond upon Thames,E09000027,5876.111,7.991,7.843,8.339,9.148,9.287,5.087,5.878,3.643,7.930,7.313,8.687,9.339,7.200,3.383,5.374,1.757,194730,40358,123639,116116,37344
103,Rochdale,E08000005,15812.803,3.709,3.881,3.418,4.209,2.575,3.425,5.746,5.754,4.216,4.216,4.910,3.575,6.097,4.664,5.396,5.575,214195,45216,132441,123041,44814
104,Rotherham,E08000018,28653.431,4.389,4.395,3.701,3.928,3.281,4.605,7.665,7.126,4.647,4.760,4.383,3.467,5.563,7.156,7.994,4.443,260786,49996,158190,146201,62922
105,Rutland,E06000017,39374.897,8.000,8.174,8.304,7.609,8.391,8.043,4.130,6.304,8.043,8.478,6.870,7.783,2.652,7.217,4.522,9.870,38046,6499,21963,20042,11191
106,Salford,E08000006,9719.732,3.733,3.993,3.760,4.360,2.300,4.493,6.187,4.753,4.080,3.760,4.847,4.047,6.753,4.427,5.287,3.480,245614,48525,159171,150373,45436
107,Sandwell,E08000028,8555.891,2.941,2.855,2.914,3.027,2.946,4.108,4.645,3.398,3.204,2.726,4.392,2.247,7.242,2.785,3.586,3.118,319455,70685,197320,185364,61631
108,Sefton,E08000014,20477.967,4.921,4.672,3.958,5.730,3.270,6.069,8.926,5.063,5.312,4.720,6.312,5.127,6.587,8.423,4.550,6.005,273707,46913,161605,147714,76856
109,Sheffield,E08000019,36793.009,4.786,5.070,4.907,4.641,4.145,4.672,5.096,5.623,5.307,4.545,4.377,5.133,6.487,3.962,5.925,4.310,569737,103346,369318,348243,114867
