id,name,address,postcode,bbox
3016,Bidford Community Library,"Bramley Way, Bidford on Avon",B50 4QG,"POLYGON((-1.88288134676055 52.1535276466452,-1.88288134676055 52.1824539833169,-1.83583927047277 52.1824539833169,-1.83583927047277 52.1535276466452,-1.88288134676055 52.1535276466452))"
3229,Bromsgrove Library,"Parkside, Market Street, Bromsgrove, B61 8DA",B60 1AP,"POLYGON((-2.08052487297126 52.3211222168599,-2.08052487297126 52.3500495431256,-2.03330221875066 52.3500495431256,-2.03330221875066 52.3211222168599,-2.08052487297126 52.3211222168599))"
3230,Bromsgrove Library,"Stratford Road, Bromsgrove, B60 1AP",B60 1AP,"POLYGON((-2.08052487297126 52.3211222168599,-2.08052487297126 52.3500495431256,-2.03330221875066 52.3500495431256,-2.03330221875066 52.3211222168599,-2.08052487297126 52.3211222168599))"
3231,Catshill Community Library,"The Community Room, Catshill Middle School, Meadow Road, Catshill, B61 0JW",B61 0JW,"POLYGON((-2.08471265340625 52.3467331365045,-2.08471265340625 52.3756603713035,-2.03746264472019 52.3756603713035,-2.03746264472019 52.3467331365045,-2.08471265340625 52.3467331365045))"
798,Long Lane,"Long Lane, Halesowen",B62 9JY,"POLYGON((-2.05466788555488 52.4532954906504,-2.05466788555488 52.4822219477475,-2.00730426773207 52.4822219477475,-2.00730426773207 52.4532954906504,-2.05466788555488 52.4532954906504))"
792,Cradley,"Colley Lane, Cradley, Halesowen",B63 2TL,"POLYGON((-2.10980789289321 52.446777059331,-2.10980789289321 52.4757040064015,-2.06245052051611 52.4757040064015,-2.06245052051611 52.446777059331,-2.10980789289321 52.446777059331))"
796,Halesowen,"Queensway Mall, The Cornbow, Halesowen",B63 4AZ,"POLYGON((-2.07564086563081 52.4343280585666,-2.07564086563081 52.4632547863719,-2.02829730509013 52.4632547863719,-2.02829730509013 52.4343280585666,-2.07564086563081 52.4343280585666))"
2392,Broughton Library,,M7 4BQ,"POLYGON((-2.28402272546008 53.4925637132506,-2.28402272546008 53.5214868086544,-2.23550559440242 53.5214868086544,-2.23550559440242 53.4925637132506,-2.28402272546008 53.4925637132506))"
2416,Cradley Heath Library,"Upper High Street, Cradley Heath",B64 5JU,"POLYGON((-2.0996686942309 52.4604219058006,-2.0996686942309 52.4893487035122,-2.05229681010116 52.4893487035122,-2.05229681010116 52.4604219058006,-2.0996686942309 52.4604219058006))"
2411,Blackheath Library,"145 High Street, Blackheath, Rowley Regis",B65 0AE,"POLYGON((-2.07486439650482 52.4622423812811,-2.07486439650482 52.4911689651561,-2.0274908930285 52.4911689651561,-2.0274908930285 52.4622423812811,-2.07486439650482 52.4622423812811))"
2429,Smethwick Library,"High Street, Smethwick",B66 1AA,"POLYGON((-1.99634457571802 52.4819568201889,-1.99634457571802 52.5108826226961,-1.94895100949707 52.5108826226961,-1.94895100949707 52.4819568201889,-1.99634457571802 52.4819568201889))"
2417,Galton valley express,"Galton Valley Children's Centre, Great Arthur Street, Smethwick",B66 1DH,"POLYGON((-1.99769955023364 52.4853553181009,-1.99769955023364 52.5142811161507,-1.95030230961056 52.5142811161507,-1.95030230961056 52.4853553181009,-1.99769955023364 52.4853553181009))"
80,Birchfield Library,"3 Trinity Road, Aston",B6 6AH,"POLYGON((-1.92544403587629 52.4945595448375,-1.92544403587629 52.523484620677,-1.87803800434867 52.523484620677,-1.87803800434867 52.4945595448375,-1.92544403587629 52.4945595448375))"
77,Aston Library,Birmingham,B6 6EJ,"POLYGON((-1.91502094416204 52.4901274562898,-1.91502094416204 52.5190524524968,-1.86761984693951 52.5190524524968,-1.86761984693951 52.4901274562898,-1.91502094416204 52.4901274562898))"
2431,Thimblemill Library,"Thimblemill Road, Smethwick",B67 5RJ,"POLYGON((-2.0002477714204 52.4671331786898,-2.0002477714204 52.4960590894672,-1.9528700781647 52.4960590894672,-1.9528700781647 52.4671331786898,-2.0002477714204 52.4671331786898))"
