OA11CD,LSOA11CD,All Ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
E00045132,E01008886,253,2,6,7,3,4,6,2,4,6,5,3,2,5,3,2,2,4,3,2,3,2,3,5,3,4,5,4,2,6,6,4,6,5,3,5,1,3,4,4,3,3,8,1,8,6,4,3,6,2,0,2,1,2,2,1,4,3,3,1,6,1,5,5,1,0,0,0,7,1,2,3,0,0,1,4,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2
E00045133,E01008886,263,5,9,6,7,2,6,5,3,6,3,3,6,3,3,1,2,3,1,8,2,2,2,0,0,7,6,9,9,6,7,7,4,4,5,2,4,4,3,1,3,2,2,6,5,3,3,0,3,7,2,2,6,3,2,3,4,1,1,3,2,1,4,3,2,5,1,0,0,0,0,2,3,3,0,1,0,0,0,1,2,2,1,0,0,0,0,2,0,1,0,0
E00045139,E01008886,134,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,2,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,5,4,4,1,2,6,4,5,3,5,2,4,6,8,3,3,2,4,4,3,2,1,3,0,7,1,0,3,4,1,2,3,2,3,1,2,1,3
E00045141,E01008886,262,4,7,0,5,9,5,6,0,2,3,2,0,1,2,0,1,1,3,2,4,4,6,1,4,3,6,10,4,5,7,1,4,2,5,6,6,8,5,2,3,3,2,1,1,2,3,5,4,2,6,4,2,2,2,4,5,2,4,2,1,4,2,3,0,4,8,1,5,1,3,4,2,1,5,2,2,1,1,0,1,1,0,0,1,1,0,1,0,0,0,2
E00045144,E01008886,331,8,6,7,2,9,1,8,3,2,3,10,4,3,3,3,1,5,3,3,3,3,4,3,0,4,4,7,6,14,4,5,5,5,5,5,3,6,6,7,3,4,0,5,5,4,2,4,3,4,4,2,6,6,5,8,4,3,2,4,5,3,4,3,3,4,5,4,2,5,5,2,3,6,2,1,3,0,0,1,2,0,1,1,3,0,0,0,0,1,0,1
E00045138,E01008887,339,9,9,14,6,8,8,8,5,8,8,4,4,5,3,4,3,3,5,2,4,3,4,6,2,5,7,0,4,8,6,3,5,7,5,6,5,5,7,6,3,3,1,1,9,5,4,2,3,2,3,5,4,6,5,2,2,2,2,4,3,7,3,2,4,2,5,1,4,3,3,0,1,0,1,1,3,2,1,0,0,1,0,2,2,1,1,0,0,1,1,2
E00045140,E01008887,313,7,6,12,5,9,3,11,8,0,5,2,1,1,3,3,2,6,3,5,2,2,2,1,4,7,7,1,2,7,7,7,6,7,4,3,2,9,3,4,2,3,2,1,4,7,4,5,2,5,0,4,3,4,4,0,2,6,3,2,3,6,2,4,3,1,6,1,2,7,3,2,0,2,5,2,0,3,0,1,2,2,4,0,0,2,1,1,0,2,1,3
E00045142,E01008887,360,4,7,11,9,10,4,9,11,4,4,1,6,3,5,2,4,4,3,4,2,3,3,2,7,4,9,4,4,7,6,7,7,5,8,7,7,6,4,7,4,1,5,3,6,7,2,6,4,0,3,2,2,4,11,4,3,4,6,5,4,5,3,2,0,4,1,2,2,6,1,2,0,2,5,2,1,1,5,1,1,0,2,3,2,1,0,1,3,1,0,1
E00045147,E01008887,289,7,11,10,6,12,5,7,3,3,7,2,5,2,3,4,3,3,4,1,3,2,1,2,2,5,6,7,6,5,6,8,6,6,4,4,5,7,2,5,3,4,1,2,7,2,2,4,4,5,3,1,3,5,4,1,3,4,3,2,2,4,3,2,2,3,2,0,3,0,1,2,0,0,2,2,0,2,0,1,0,1,0,1,0,0,0,1,1,0,0,1
E00045152,E01008887,317,7,4,8,6,7,5,4,7,7,7,4,4,2,4,1,2,3,5,3,2,3,7,0,4,3,5,14,5,6,5,4,4,8,3,7,6,7,3,5,6,1,2,0,4,2,2,1,2,3,2,7,8,5,8,7,6,7,3,4,5,4,2,3,2,3,0,0,3,4,2,2,0,0,1,1,1,1,3,2,0,0,1,0,1,2,0,0,1,1,0,1
