OA11CD,LSOA11CD,All Ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
E00037126,E01007323,327,4,7,8,5,5,3,4,5,1,2,6,3,3,6,4,3,2,5,4,7,8,5,8,7,5,1,7,9,6,4,2,8,6,3,3,3,0,3,0,2,3,6,0,8,3,7,3,7,6,3,6,6,4,7,5,3,2,6,5,5,1,3,1,1,3,3,5,0,1,1,5,1,1,1,0,2,2,5,2,0,1,2,2,3,3,1,0,2,0,1,2
E00037125,E01007324,294,2,6,3,4,5,3,6,6,1,0,4,8,4,2,3,3,3,3,2,4,7,2,4,2,4,5,2,4,5,4,0,2,1,3,2,3,3,5,2,2,3,7,0,2,6,6,5,3,4,4,3,3,4,6,6,5,2,7,4,5,4,10,5,5,0,4,1,3,5,6,4,2,2,2,2,1,3,0,2,0,0,0,1,1,1,2,0,1,0,5,3
E00037130,E01007324,231,3,2,2,1,2,1,3,1,3,1,5,4,2,2,4,1,3,6,3,1,4,3,3,1,3,3,4,4,4,2,5,4,4,6,1,3,3,2,0,2,3,3,3,7,4,2,1,3,2,3,4,1,6,4,3,2,3,1,1,3,6,1,2,4,1,2,6,6,0,2,3,2,1,2,1,0,2,6,1,1,1,1,1,1,1,2,2,0,1,1,1
E00037131,E01007324,311,9,4,5,5,2,5,4,5,1,6,4,11,2,2,6,4,5,4,1,5,4,6,3,5,2,3,4,9,4,7,6,2,4,6,6,2,3,6,1,3,0,5,5,4,3,3,3,5,2,3,8,5,3,5,3,3,6,2,1,9,2,3,4,2,3,4,1,2,1,4,5,0,3,1,2,1,1,2,1,2,1,2,1,1,1,3,0,4,0,0,0
E00037132,E01007324,258,5,2,6,1,2,2,1,2,0,3,1,0,4,0,2,0,3,1,2,3,0,2,3,5,6,8,0,6,4,3,8,3,2,2,3,0,1,4,2,1,1,2,2,3,2,1,3,3,3,7,6,6,5,4,1,3,3,8,4,4,4,5,4,2,8,6,1,8,4,6,1,2,5,5,1,2,2,6,0,3,1,1,0,1,0,0,3,0,0,0,3
E00037133,E01007324,326,5,2,1,9,5,8,4,7,8,7,5,3,3,2,3,2,3,4,4,0,3,6,5,5,6,1,2,9,6,1,3,6,3,4,1,4,4,2,4,2,2,7,7,6,3,3,3,7,4,1,3,7,5,7,4,6,5,6,4,4,5,6,7,5,0,3,5,2,3,5,2,3,1,3,2,1,3,4,1,1,1,0,0,2,1,2,2,0,0,0,0
E00037138,E01007324,255,5,3,3,2,2,4,4,5,7,1,3,1,3,0,2,1,3,0,4,4,1,2,3,3,3,1,2,3,3,5,5,3,3,1,2,3,3,2,4,4,2,2,1,1,4,2,5,6,1,5,3,6,4,3,3,5,2,3,7,4,5,4,3,4,5,5,4,4,6,1,0,0,3,2,4,1,2,2,1,5,2,2,0,2,1,1,0,0,3,0,1
E00037123,E01007325,306,13,2,10,10,6,5,2,1,4,5,5,5,5,3,6,6,5,4,3,5,4,4,4,6,6,2,5,5,6,2,6,5,3,2,4,6,4,1,5,8,4,2,5,4,6,1,2,4,7,3,2,6,3,2,1,4,2,4,3,3,2,2,5,4,4,0,3,4,3,1,1,0,4,0,1,1,0,0,0,0,2,2,3,0,1,0,1,0,0,0,1
E00037124,E01007325,350,5,6,8,10,6,2,8,10,8,9,8,7,4,2,3,5,4,3,4,9,5,4,7,6,3,7,5,7,8,5,6,3,2,4,5,7,1,2,2,3,3,6,2,5,6,8,8,5,4,5,5,3,6,5,0,4,2,5,4,2,1,3,2,3,4,0,5,2,2,5,2,1,0,2,4,1,1,0,2,2,2,0,0,0,1,0,2,0,0,0,2
E00037127,E01007325,352,8,9,4,11,17,9,10,9,5,13,2,4,3,3,8,2,5,4,3,4,2,3,3,5,8,8,5,8,4,10,8,4,7,4,1,3,6,9,1,2,2,1,4,5,6,3,1,6,4,3,3,5,2,6,3,2,3,2,4,4,1,8,3,4,1,1,5,0,3,3,2,1,0,1,0,2,1,0,0,0,2,0,1,2,0,0,4,4,0,0,0
