OA11CD,LSOA11CD,All Ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+
E00072595,E01014373,327,7,3,3,5,4,3,4,5,7,5,5,4,4,5,8,6,6,4,2,3,6,1,2,7,2,3,7,4,5,4,1,3,4,4,3,6,0,6,6,5,2,7,3,5,5,7,6,3,6,8,7,7,8,4,8,5,4,4,4,4,3,4,2,3,1,1,3,2,2,0,1,3,3,2,0,0,0,1,0,0,0,1,1,1,3,3,0,4,0,3,1
E00072597,E01014373,329,4,5,2,4,5,6,2,8,6,4,4,5,5,2,5,4,1,5,6,1,1,3,5,5,1,7,6,4,3,3,6,5,2,4,4,4,5,2,7,2,3,2,5,6,6,8,4,3,5,7,5,5,8,6,4,2,4,5,2,5,3,3,1,2,3,0,3,2,7,6,2,7,2,2,2,3,1,1,1,3,3,2,0,1,1,4,2,0,0,2,2
E00072599,E01014373,371,6,6,8,5,5,9,6,8,10,8,6,2,8,6,6,4,4,8,7,4,3,3,2,5,1,2,3,4,2,3,6,3,2,6,3,5,4,11,8,7,8,10,3,5,6,7,2,3,8,5,1,6,8,4,4,5,2,5,2,3,3,5,1,2,6,2,0,4,3,2,2,1,1,0,5,3,2,1,2,1,2,1,1,0,1,2,2,1,1,0,8
E00072602,E01014373,366,2,4,2,6,1,7,5,7,5,6,7,7,7,3,10,1,3,6,4,3,1,1,4,4,3,0,4,1,4,1,2,2,2,7,3,3,6,3,4,5,2,3,5,8,7,5,5,6,7,6,5,5,11,2,5,13,4,5,3,7,7,2,8,5,4,4,5,3,6,2,8,3,8,2,2,1,2,3,4,3,3,1,0,3,4,1,0,1,1,0,0
E00072593,E01014374,284,0,2,3,3,4,3,4,4,2,3,4,2,3,7,4,1,5,3,1,4,4,2,3,0,4,3,1,0,1,0,1,2,3,3,2,5,0,3,3,1,2,1,2,6,2,6,5,4,6,6,3,8,3,4,1,1,3,1,4,7,7,3,4,3,0,1,1,1,1,6,3,5,1,5,8,3,5,3,4,5,2,2,2,1,1,3,1,1,6,0,18
E00072600,E01014374,338,0,1,4,4,5,6,6,2,7,8,3,3,6,5,4,7,3,7,3,1,2,1,2,4,3,1,1,3,2,1,1,0,0,5,2,2,3,3,3,5,3,4,3,9,8,4,7,4,4,4,4,7,2,6,5,4,5,2,7,1,6,2,3,5,5,9,6,8,1,6,1,3,3,4,3,2,2,11,2,5,5,0,3,3,5,2,1,2,0,1,7
E00072601,E01014374,244,1,2,3,0,5,7,0,2,3,1,1,1,0,4,0,3,5,3,2,1,2,0,0,6,3,1,3,3,1,1,2,1,2,3,2,4,2,6,4,4,2,7,1,2,2,1,4,4,1,6,10,3,4,4,1,0,4,4,4,2,0,4,6,5,3,1,0,1,9,6,1,1,8,3,1,2,3,1,2,0,3,1,1,2,2,3,4,3,1,1,6
E00072607,E01014374,335,0,4,0,5,2,9,1,3,8,10,8,3,9,6,1,3,4,4,5,2,3,2,2,0,0,3,0,0,0,2,0,1,2,0,1,0,1,5,3,3,6,8,3,3,7,6,3,6,9,3,9,4,6,7,6,5,3,2,2,3,2,7,5,2,12,10,5,5,2,10,4,1,3,4,2,3,3,6,2,4,2,3,4,1,5,2,2,1,2,2,3
E00072608,E01014374,266,3,1,4,2,3,2,5,5,4,7,3,5,4,1,6,4,3,4,3,2,1,0,1,2,3,6,2,1,0,5,3,1,3,2,1,4,5,2,2,5,2,5,8,2,1,6,3,4,1,5,3,1,9,5,4,2,4,2,3,2,7,0,5,4,2,1,1,6,3,0,2,2,3,1,1,2,4,4,2,4,2,2,5,0,0,2,3,0,0,1,5
E00072596,E01014375,330,2,3,4,3,2,6,2,1,3,4,3,1,2,3,0,3,3,7,5,4,2,2,0,3,5,5,7,8,1,3,4,1,0,4,5,1,2,3,0,2,2,2,4,4,1,8,3,4,4,3,5,8,9,8,6,8,6,8,6,5,10,7,4,1,3,3,4,8,10,4,6,5,5,2,5,1,5,2,3,3,3,1,0,1,0,3,3,1,2,0,2
E00072609,E01014375,350,0,2,0,0,5,5,3,4,4,4,7,1,8,5,3,9,7,5,5,5,0,4,1,5,3,3,2,5,4,0,6,1,1,1,2,1,2,3,2,3,4,5,5,6,5,5,3,4,5,9,6,5,13,10,11,11,6,7,5,8,6,2,2,6,5,1,2,1,2,5,1,8,7,4,6,5,1,3,1,6,0,1,0,0,2,2,3,2,1,0,1
E00072610,E01014375,102,1,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,3,0,2,1,2,2,3,0,0,1,3,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,3,2,3,2,1,2,2,5,1,4,5,2,4,1,2,2,0,4,1,0,0,1,3,0,2,3,1,0,0,1,3,2,1,1,1,0,1,1
E00072612,E01014375,262,3,6,4,3,2,5,3,5,2,3,3,2,3,3,3,1,4,4,3,0,1,1,2,3,0,1,2,8,5,1,0,2,1,5,3,1,3,4,6,4,5,3,2,4,5,5,3,6,4,5,7,6,5,5,6,1,1,4,1,3,2,9,2,2,7,3,0,8,3,4,1,2,2,2,6,2,0,1,2,1,2,2,0,1,2,0,0,0,0,0,0
