OA11CD,LSOA11CD,All Ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
E00072603,E01014376,298,3,3,2,2,2,3,3,1,2,4,2,2,4,2,1,0,5,5,5,8,2,1,2,2,1,2,1,3,2,1,1,1,0,1,2,0,1,0,1,2,5,1,2,3,2,5,6,7,3,5,7,4,8,6,7,7,2,2,4,8,2,3,7,4,4,5,2,9,3,2,13,3,1,2,5,4,4,2,6,4,1,3,3,2,3,0,3,3,3,1,12
E00072604,E01014376,339,3,1,4,3,7,6,10,8,2,5,5,6,6,5,5,1,8,3,3,3,1,2,2,0,2,3,1,0,1,2,2,1,2,1,1,6,1,5,4,6,7,2,6,4,5,3,8,4,7,4,14,7,6,1,7,6,3,5,5,7,5,2,1,5,6,2,8,4,4,4,3,2,1,5,1,3,2,1,5,4,2,3,0,1,8,0,2,0,2,0,5
E00072605,E01014376,266,2,1,1,2,1,2,1,2,2,1,2,4,2,3,2,0,4,0,6,3,1,2,4,2,0,0,1,0,2,1,2,1,1,2,0,0,1,2,0,0,2,6,3,4,2,4,5,3,5,4,4,5,3,3,6,3,5,3,3,6,7,8,7,7,4,3,2,7,3,5,2,5,5,5,2,5,4,3,8,9,4,0,3,1,4,2,3,1,2,0,3
E00072606,E01014376,273,5,7,3,2,1,4,3,3,4,3,4,1,5,2,6,2,2,2,1,1,2,1,1,0,1,2,2,4,3,3,2,3,1,3,3,1,3,2,6,3,6,4,2,6,7,5,7,6,2,4,1,4,5,3,6,2,3,3,7,2,2,3,8,5,2,4,6,4,3,1,4,0,5,2,3,5,6,4,2,4,1,1,0,2,1,1,0,1,0,0,1
E00072588,E01014377,255,0,4,3,3,7,4,3,3,4,3,6,1,3,2,0,3,0,2,2,0,0,2,2,1,1,1,0,2,2,3,1,2,2,2,2,0,1,5,4,2,6,3,7,1,0,6,2,3,8,1,2,7,1,2,0,1,3,5,3,4,1,5,5,4,3,2,3,2,2,2,1,5,4,5,2,6,5,9,5,5,6,2,3,3,6,2,0,2,0,0,2
E00072589,E01014377,308,3,4,5,3,7,4,3,4,3,7,3,4,2,3,3,1,3,5,2,3,2,2,0,1,2,4,2,3,1,4,4,2,4,4,3,6,2,4,6,4,2,5,4,9,1,2,5,9,1,6,4,4,1,3,3,4,6,9,3,4,4,7,3,4,3,2,2,4,4,2,6,5,5,2,3,2,1,2,0,4,3,3,2,7,4,2,2,2,0,0,1
E00072590,E01014377,229,1,1,0,3,2,5,1,1,2,0,1,2,4,2,3,3,2,2,2,1,1,0,2,0,0,0,2,1,2,1,1,0,0,2,0,0,0,2,1,4,3,3,2,2,1,4,3,3,3,5,3,0,3,2,2,1,1,3,1,1,2,4,5,7,7,4,2,3,3,5,0,7,4,3,1,4,4,2,6,8,6,3,6,5,4,3,4,3,5,2,4
E00072591,E01014377,268,3,4,0,5,1,2,2,4,5,1,5,5,3,3,4,2,2,5,7,3,2,3,1,0,0,2,0,0,0,2,0,2,2,4,4,3,3,2,6,4,3,3,3,6,6,7,5,6,5,3,4,5,2,3,7,3,5,3,2,5,1,1,2,2,3,6,8,4,5,3,7,2,2,1,4,4,2,1,0,3,3,4,2,0,0,3,1,2,0,0,0
E00072592,E01014377,212,0,1,0,5,1,3,0,1,1,0,0,2,2,1,2,0,2,2,1,1,1,1,0,1,1,1,1,0,0,2,0,1,1,1,2,2,3,0,0,2,2,2,2,2,3,3,3,3,4,2,3,3,5,3,2,3,3,2,2,3,2,4,4,1,3,2,5,2,6,2,4,1,5,6,4,6,1,5,3,1,3,7,6,7,2,5,4,2,3,1,5
E00072611,E01014377,127,1,2,2,2,2,3,1,4,2,1,1,3,2,1,1,2,2,2,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,3,3,1,3,3,2,1,7,0,3,1,3,2,3,0,1,2,1,3,2,3,0,2,4,1,2,1,5,2,2,1,4,1,1,2,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,2
