OA11CD,LSOA11CD,All Ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
E00078871,E01015594,297,4,5,2,5,7,6,4,7,5,5,6,8,2,5,2,4,0,3,4,3,1,4,3,3,4,6,2,5,7,2,6,5,4,5,3,9,5,3,2,5,5,6,6,4,3,4,5,6,1,3,2,1,4,5,4,5,0,5,5,1,3,4,4,2,2,2,4,1,5,3,2,1,0,1,0,3,1,0,1,1,1,1,2,0,1,1,0,4,0,0,1
E00078872,E01015594,299,3,1,8,4,5,2,7,6,7,7,6,3,5,3,2,3,5,4,6,5,3,4,4,3,4,4,3,4,5,7,7,6,6,3,2,7,0,11,3,6,6,7,2,7,2,3,7,2,2,2,3,2,3,2,1,1,0,2,4,1,1,2,5,2,3,2,5,2,2,3,0,3,2,4,4,2,2,1,3,4,0,1,0,0,0,0,0,0,1,0,2
E00078873,E01015594,317,5,6,7,5,5,6,2,3,8,5,6,3,3,1,4,5,5,4,5,8,4,7,3,5,4,7,12,6,7,4,5,3,1,7,7,10,2,7,7,10,6,2,8,2,5,1,6,3,1,3,3,5,2,3,0,5,5,1,3,1,2,2,8,3,0,1,1,2,1,1,0,1,2,0,1,2,3,0,0,3,1,1,0,0,1,0,2,0,0,0,0
E00078874,E01015594,278,5,4,2,1,2,4,1,2,1,3,2,2,0,0,1,1,1,0,2,0,5,7,5,2,7,4,5,7,4,9,4,0,2,9,3,5,7,2,1,5,3,5,4,6,4,3,1,8,5,3,2,4,1,3,2,4,2,5,0,2,5,2,5,5,4,3,3,5,3,2,2,3,3,0,2,4,2,4,1,2,0,3,6,3,6,0,2,0,0,1,3
E00078875,E01015594,467,14,13,12,9,7,13,7,9,3,6,2,2,1,3,3,1,2,1,5,1,4,4,8,2,7,12,4,7,9,9,5,8,8,10,11,8,7,8,12,3,12,6,6,4,6,4,7,9,2,6,7,4,10,1,4,8,8,3,4,5,2,2,4,8,10,2,5,2,7,3,2,3,3,4,1,0,4,5,2,6,4,2,3,0,0,0,4,0,2,0,1
E00078876,E01015594,348,6,6,8,3,5,8,6,4,7,3,4,4,3,4,7,5,4,4,4,6,7,3,3,6,1,3,6,4,3,8,3,6,4,3,2,4,8,1,6,3,5,10,7,4,3,4,3,8,6,3,2,3,3,3,8,2,4,6,5,9,2,6,5,4,3,3,3,4,1,2,3,3,4,1,0,3,1,3,4,1,3,1,1,1,1,0,0,1,0,0,1
E00078849,E01015595,153,4,0,3,0,0,0,1,1,1,0,0,0,0,0,0,2,0,0,1,1,1,1,3,1,2,3,5,2,2,2,1,1,1,1,1,2,2,1,2,2,0,1,3,4,2,1,2,2,2,2,4,3,2,0,3,0,1,1,1,1,1,2,4,2,0,5,3,2,5,1,1,5,2,5,2,3,3,4,2,2,2,2,1,1,1,1,3,0,1,0,2
E00078850,E01015595,372,4,2,10,4,8,6,7,6,8,5,6,12,4,6,6,8,4,3,4,1,5,2,6,5,7,2,6,8,4,4,4,4,6,3,3,11,5,4,12,7,4,3,5,9,3,5,6,5,0,5,5,4,7,8,3,5,5,3,2,6,3,2,4,3,2,3,8,4,3,1,3,1,2,1,3,1,3,4,1,1,1,0,0,0,0,0,0,0,0,0,3
E00078851,E01015595,295,5,10,3,3,4,5,2,3,4,2,3,5,5,3,1,1,5,1,5,5,4,2,2,1,2,3,1,5,4,3,5,3,5,2,2,4,3,3,3,5,3,6,6,6,4,5,6,2,3,3,5,3,1,7,6,2,3,5,3,0,3,8,7,2,4,2,3,6,5,4,0,3,6,4,1,2,4,2,4,3,1,0,0,1,2,0,2,0,0,0,0
E00078877,E01015595,364,6,9,3,9,6,6,10,3,8,9,6,6,6,7,8,7,3,2,4,6,3,1,8,7,4,7,7,5,1,5,1,6,4,6,3,5,6,5,2,7,6,5,4,5,6,9,7,5,4,4,6,7,7,3,3,3,2,6,1,7,0,2,4,0,5,2,1,4,4,2,2,3,2,1,2,0,1,0,4,1,0,1,1,1,1,2,0,0,1,0,0
E00078878,E01015595,333,5,5,5,7,4,12,8,5,12,10,3,5,2,4,6,3,2,6,3,8,2,3,3,5,4,6,4,5,5,8,1,4,5,5,3,3,4,3,7,4,4,5,4,4,4,8,5,2,6,4,4,4,6,5,2,2,1,1,1,6,6,2,0,1,6,5,1,2,1,3,2,7,1,3,2,1,3,2,0,2,0,2,2,1,0,0,0,1,0,0,0
E00078848,E01015596,383,5,4,5,8,10,10,7,12,7,7,5,9,3,9,8,18,5,6,3,9,4,5,3,7,4,3,5,5,5,6,7,5,6,11,8,5,3,9,4,11,6,5,4,2,5,9,2,2,5,3,4,2,1,3,2,2,6,1,4,3,4,3,5,1,2,1,2,1,3,6,0,2,1,1,1,1,0,0,0,2,2,1,1,0,1,3,1,0,0,0,1
E00078853,E01015596,335,7,6,9,6,6,5,8,5,6,5,5,4,4,4,4,2,5,1,6,8,7,4,7,3,4,4,7,7,9,6,12,5,3,10,7,5,3,3,4,1,5,3,4,5,2,2,0,2,6,5,3,2,2,3,1,3,1,2,3,4,3,1,1,6,6,3,4,7,2,1,1,2,1,4,1,1,1,2,2,0,2,2,0,0,2,0,2,1,0,0,2
E00078854,E01015596,303,2,3,6,4,4,4,4,5,3,5,4,7,4,3,6,3,6,5,8,6,1,3,4,2,5,8,1,3,2,5,6,3,6,4,5,6,9,4,4,4,2,5,5,1,9,6,6,3,3,3,5,4,2,5,4,7,5,3,4,6,1,7,2,4,3,2,1,1,2,1,2,1,1,0,1,3,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0
E00078858,E01015596,455,11,9,6,14,13,5,11,7,7,12,8,6,6,10,9,6,10,8,9,5,7,4,6,7,6,11,7,9,7,4,11,9,9,4,7,4,10,5,7,5,5,2,6,4,8,14,8,7,6,2,5,4,4,2,5,4,3,3,4,4,2,2,5,1,2,1,3,0,3,1,1,3,3,1,1,4,2,0,2,1,2,0,2,1,0,1,0,0,0,0,0
E00078863,E01015596,260,3,6,2,2,4,5,4,5,9,5,4,5,2,5,1,2,3,1,2,3,0,3,1,1,3,3,2,6,4,3,8,7,4,4,4,5,4,2,7,0,2,1,6,4,6,4,6,2,3,4,7,0,1,1,3,2,6,1,2,2,5,7,3,2,2,2,1,3,2,3,2,1,0,0,0,6,1,2,1,0,1,1,3,0,0,1,0,2,0,1,1
E00078879,E01015597,296,7,4,6,4,5,5,4,3,4,3,6,3,3,2,3,3,3,2,10,4,1,2,0,3,2,3,4,2,6,4,5,6,6,3,5,4,6,5,8,1,5,1,2,5,2,3,4,4,5,3,2,4,4,3,3,2,5,5,1,5,2,3,4,3,3,4,7,1,2,2,1,2,1,1,3,1,2,0,1,1,6,4,0,1,0,3,4,3,0,0,3
E00078882,E01015597,252,6,5,7,6,3,4,2,8,4,3,5,3,2,3,4,6,3,2,4,9,2,5,7,4,3,6,3,4,7,4,3,4,2,2,6,5,4,2,5,4,4,0,2,4,3,4,1,1,5,5,5,6,1,4,1,2,3,3,2,3,1,1,3,2,2,1,3,3,3,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
E00078883,E01015597,342,4,7,5,7,10,5,8,7,5,9,6,6,14,8,9,5,10,3,5,4,7,3,6,4,4,5,5,2,6,4,7,13,1,5,7,5,5,4,4,4,5,5,6,4,3,2,4,0,4,4,8,6,3,2,5,4,6,2,4,1,2,3,1,4,0,1,3,0,4,2,0,0,2,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0
E00078886,E01015597,356,9,7,2,2,5,9,7,11,6,8,6,3,6,6,6,6,6,5,6,3,10,5,4,5,3,2,3,9,3,1,7,6,7,4,12,6,9,7,2,5,7,4,4,8,2,5,4,5,3,7,1,5,3,5,3,3,3,1,3,3,4,2,2,2,3,3,3,4,5,2,2,1,2,0,0,1,1,2,0,1,4,0,0,1,0,0,0,0,0,1,2
E00078887,E01015597,353,2,4,5,8,7,7,9,3,7,3,6,7,3,4,3,3,5,6,8,8,3,4,5,3,2,6,1,3,3,3,9,9,11,9,5,0,7,3,6,4,6,5,8,1,4,6,0,6,6,10,6,5,8,1,9,5,6,5,3,6,3,1,6,1,3,4,2,4,3,2,1,1,0,1,1,0,0,2,1,2,0,0,0,3,0,1,0,0,0,0,1
E00078880,E01015598,328,2,1,3,1,3,4,2,3,3,1,6,5,2,5,5,2,3,4,3,2,2,0,2,2,2,3,2,5,4,4,1,1,2,3,0,4,3,5,4,3,5,1,1,3,5,1,5,5,4,2,7,3,4,8,9,8,2,8,5,5,7,10,6,6,9,2,6,8,6,7,8,6,4,4,3,3,3,1,1,3,2,1,3,4,3,2,3,1,0,0,3
E00078881,E01015598,194,0,3,1,2,1,0,3,0,0,0,1,2,2,0,3,0,0,2,0,2,3,0,1,1,2,2,1,2,4,1,3,2,1,3,1,1,1,1,1,0,1,2,1,1,4,2,2,2,2,3,2,5,3,3,2,1,5,5,1,5,8,1,2,2,2,6,3,5,4,7,4,4,4,3,2,4,3,4,3,3,0,2,2,1,2,2,0,1,0,2,3
E00078884,E01015598,343,0,1,1,3,3,8,1,3,2,5,2,3,3,5,4,7,5,4,3,4,4,1,3,5,4,7,4,3,2,3,1,1,4,5,4,4,5,3,6,4,3,3,6,5,7,2,3,4,7,6,7,9,10,11,9,9,6,6,6,6,7,7,2,1,8,2,3,5,4,6,5,1,5,2,1,4,3,1,4,1,0,0,1,0,0,0,0,0,1,2,2
E00078885,E01015598,269,6,7,3,6,3,7,3,3,7,4,2,5,1,2,3,2,3,2,4,0,0,2,2,1,3,4,1,2,3,6,7,2,8,4,7,7,3,2,2,3,9,4,6,4,6,1,1,3,2,8,1,3,6,8,3,3,2,5,3,2,5,5,4,5,1,0,8,2,2,2,3,2,2,3,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
E00078888,E01015598,280,2,3,4,4,5,3,1,3,3,1,1,2,2,2,1,2,3,2,1,2,1,3,5,1,0,2,1,4,1,1,5,1,2,3,3,1,2,2,0,5,1,2,7,2,2,4,0,3,3,6,2,4,3,10,7,3,4,5,3,4,2,5,5,4,5,11,5,4,7,11,3,6,5,4,8,1,3,2,3,2,1,3,2,1,4,1,1,2,3,0,1
E00078893,E01015599,232,9,2,6,6,6,1,4,2,2,0,2,2,0,3,1,1,1,2,1,2,2,6,4,6,4,3,7,5,3,3,6,9,3,2,2,2,5,3,2,5,4,2,1,2,4,3,1,3,4,3,3,4,2,3,2,2,2,1,1,4,3,3,2,1,2,1,0,2,2,2,2,1,1,2,1,0,1,2,1,2,0,1,1,1,1,2,1,0,0,3,5
E00078896,E01015599,663,9,13,11,13,12,4,15,12,9,11,13,10,18,5,15,10,11,7,10,7,10,10,15,7,13,22,15,17,18,12,8,18,14,12,11,13,10,12,9,14,8,7,13,8,3,2,10,2,11,7,9,10,4,2,9,3,4,1,4,4,5,4,4,8,4,4,3,2,2,5,1,2,2,2,2,2,2,1,0,2,0,0,3,2,0,0,1,1,0,1,2
E00078897,E01015599,336,4,2,6,3,4,3,3,1,1,0,1,1,2,3,2,2,1,3,0,0,2,3,4,5,6,7,13,14,12,20,16,15,12,15,6,9,9,8,4,2,4,2,2,2,0,5,5,3,5,4,10,4,2,3,4,2,3,2,0,5,3,2,4,3,5,5,1,2,2,2,1,1,1,0,1,0,2,0,0,0,1,0,1,0,1,0,1,1,0,1,4
E00171268,E01015599,667,12,9,8,13,12,6,13,6,8,5,9,10,5,5,14,6,7,12,8,8,14,16,17,13,22,19,20,17,14,16,19,17,10,18,16,8,9,15,8,14,9,9,6,11,6,8,11,9,8,6,8,4,8,4,3,5,3,6,5,7,4,4,7,4,0,6,1,1,0,2,0,2,1,2,1,0,2,2,1,2,1,1,0,0,1,4,0,0,2,0,2
E00171269,E01015599,305,5,8,8,7,6,4,3,6,4,6,1,8,3,4,2,2,0,2,2,2,3,3,4,4,14,5,11,7,7,9,8,5,3,6,5,9,8,3,3,1,4,3,4,1,4,4,3,4,2,1,5,2,3,3,2,4,6,5,2,2,1,4,1,4,4,5,1,3,2,0,1,0,0,1,2,0,0,1,2,0,0,2,0,1,0,1,2,0,0,1,1
E00078889,E01015600,497,8,14,9,10,11,15,13,5,13,11,9,6,9,9,4,8,8,9,5,2,5,7,8,6,6,8,9,15,9,11,13,11,11,8,6,11,6,11,9,4,8,6,10,6,6,7,6,6,3,4,3,2,5,1,2,6,3,1,6,3,4,0,4,3,2,3,2,3,1,1,1,1,1,4,1,1,2,1,1,0,1,0,4,2,1,3,1,0,0,1,2
E00078894,E01015600,317,5,5,5,5,1,1,6,3,5,5,4,3,4,3,2,3,4,1,0,2,3,2,5,2,7,4,8,6,7,4,6,6,7,6,6,4,2,1,5,4,5,3,1,4,4,5,1,1,1,2,3,3,3,0,2,1,3,2,1,3,4,5,3,3,2,2,1,0,2,1,3,3,2,5,2,3,1,2,4,1,5,5,8,6,6,6,1,5,2,1,13
E00078912,E01015600,481,17,13,13,9,7,11,6,8,4,9,4,9,5,9,6,11,4,4,9,7,4,9,4,11,10,6,9,7,14,12,5,10,9,9,10,11,8,9,5,3,6,6,4,7,8,6,6,4,6,5,3,6,7,3,5,5,7,4,2,3,5,2,3,5,2,3,1,1,2,3,3,2,0,0,0,1,1,1,3,1,2,1,2,0,0,2,2,0,0,0,0
E00171266,E01015600,371,5,10,6,8,4,4,3,6,7,6,8,5,6,5,10,7,7,7,7,6,6,4,7,6,2,9,7,8,6,9,6,4,10,5,12,6,9,7,8,3,8,10,4,8,5,0,6,4,7,4,1,2,6,3,1,5,2,1,1,5,2,6,2,0,0,4,2,0,0,0,1,2,2,0,0,0,0,1,0,0,1,2,0,1,0,0,0,0,0,0,1
E00171267,E01015600,297,3,7,8,8,6,5,5,7,4,5,4,4,8,3,3,3,5,3,3,4,7,3,5,5,4,5,9,4,8,6,7,8,6,6,8,4,3,5,5,4,3,4,4,2,3,7,4,8,2,5,4,2,1,2,0,2,3,3,0,1,0,0,1,1,1,2,2,0,0,1,0,0,0,1,2,0,1,1,1,1,1,3,0,1,2,1,3,1,0,0,0
E00078907,E01015601,473,4,7,7,10,11,9,8,9,9,8,7,6,7,7,6,7,9,8,11,8,4,11,7,10,8,15,4,4,10,8,4,7,8,7,9,13,5,10,4,4,9,5,6,5,9,7,10,9,7,3,3,4,4,4,8,3,5,3,4,8,6,2,1,4,3,0,2,2,2,1,2,0,1,0,2,3,0,2,1,1,0,2,1,0,1,6,0,0,0,1,1
E00078908,E01015601,552,9,12,10,12,13,5,11,11,7,11,10,10,7,7,9,12,15,7,9,12,6,9,6,9,15,6,11,9,8,9,5,8,10,10,5,7,7,6,13,7,9,9,9,6,6,2,5,7,3,11,5,11,6,7,7,7,7,10,3,3,5,6,2,2,3,2,1,2,4,2,0,3,2,3,0,1,1,0,0,0,2,1,1,1,1,3,1,0,3,0,2
E00078910,E01015601,465,10,6,7,11,10,7,8,8,8,11,7,6,8,11,3,8,8,8,9,10,7,5,11,8,13,9,10,6,14,7,15,6,11,9,7,7,7,9,7,5,11,8,7,8,6,4,8,4,2,5,2,5,8,2,4,4,3,5,4,1,3,2,1,3,0,0,2,1,0,1,3,0,2,0,0,0,2,0,0,1,1,0,0,1,0,3,0,0,1,0,0
E00078911,E01015601,539,7,11,7,16,13,11,6,8,9,8,8,9,6,9,6,8,8,12,11,10,10,8,14,8,10,8,11,9,11,9,9,15,6,7,9,4,12,8,6,11,11,8,15,10,5,6,9,4,3,4,3,4,5,7,7,1,2,7,3,6,5,2,8,5,1,1,3,0,1,2,1,0,0,0,1,1,0,1,1,3,1,0,2,1,1,3,0,1,2,3,1
E00078892,E01015602,458,12,7,10,10,7,6,1,11,5,3,1,4,3,0,4,4,6,7,5,7,3,9,11,13,11,9,11,10,15,6,14,12,5,9,10,8,8,6,10,8,7,3,7,8,6,4,9,6,5,4,2,4,3,6,6,1,5,5,2,4,0,2,0,3,3,5,3,4,4,1,2,2,0,3,2,0,1,1,1,3,1,2,4,4,3,1,1,1,0,1,2
E00078909,E01015602,507,13,16,7,6,8,9,11,6,9,4,5,9,4,6,3,6,7,6,9,5,8,10,8,13,13,18,13,12,16,13,7,11,10,6,7,11,7,11,8,4,3,8,9,5,4,6,3,5,7,5,7,7,10,3,7,2,2,4,4,4,3,1,6,2,2,3,3,3,2,2,1,0,2,0,1,1,1,0,2,2,2,1,0,2,0,0,2,2,0,0,1
E00078913,E01015602,341,4,6,4,3,2,3,3,4,3,5,1,2,2,0,1,3,3,5,3,4,6,5,4,6,8,6,10,8,11,6,11,9,10,4,2,7,11,7,7,6,3,4,3,4,5,3,3,7,6,4,4,5,4,4,3,6,3,2,3,5,5,3,3,3,3,4,1,2,3,2,2,0,2,1,0,0,1,2,0,1,2,1,1,3,1,3,3,1,1,0,1
